Date,Close
7/11/2016,6.51
7/12/2016,6.09
7/13/2016,5.87
7/14/2016,6.15
7/15/2016,5.97
7/18/2016,5.99
7/19/2016,5.93
7/20/2016,5.81
7/21/2016,5.8
7/22/2016,5.88
7/25/2016,6
7/26/2016,5.86
7/27/2016,5.98
7/28/2016,6.11
7/29/2016,6.22
8/1/2016,6.1
8/2/2016,6.06
8/3/2016,5.98
8/4/2016,5.88
8/5/2016,5.9
8/8/2016,5.9
8/9/2016,5.57
8/10/2016,5.74
8/11/2016,5.94
8/12/2016,5.86
8/15/2016,5.94
8/16/2016,6.2
8/17/2016,6.81
8/18/2016,7.78
8/19/2016,8.13
8/22/2016,8.17
8/23/2016,7.7
8/24/2016,7.64
8/25/2016,7.59
8/26/2016,7.93
8/29/2016,7.88
8/30/2016,7.62
8/31/2016,7.83
9/1/2016,7.79
9/2/2016,7.83
9/6/2016,7.82
9/7/2016,7.65
9/8/2016,8.07
9/9/2016,7.98
9/12/2016,8.16
9/13/2016,8.29
9/14/2016,8.2
9/15/2016,8.56
9/16/2016,8.21
9/19/2016,8.61
9/20/2016,8.27
9/21/2016,8.65
9/22/2016,8.73
9/23/2016,8.75
9/26/2016,8.9
9/27/2016,9.05
9/28/2016,9.01
9/29/2016,9.49
9/30/2016,10.34
10/3/2016,10.37
10/4/2016,10.2
10/5/2016,9.77
10/6/2016,10.56
10/7/2016,10.44
10/10/2016,10.13
10/11/2016,9.81
10/12/2016,9.74
10/13/2016,9.47
10/14/2016,9.2
10/17/2016,8.75
10/18/2016,8.33
10/19/2016,8.84
10/20/2016,8.62
10/21/2016,8.81
10/24/2016,8.66
10/25/2016,8.43
10/26/2016,8.88
10/27/2016,8.9
10/28/2016,8.5
10/31/2016,8.33
11/1/2016,7.64
11/2/2016,7.74
11/3/2016,7.74
11/4/2016,7.35
11/7/2016,7.12
11/8/2016,7.35
11/9/2016,7.57
11/10/2016,7.75
11/11/2016,7.79
11/14/2016,8.01
11/15/2016,7.99
11/16/2016,8.14
11/17/2016,8.49
11/18/2016,8.45
11/21/2016,8.47
11/22/2016,8.62
11/23/2016,8.47
11/25/2016,7.52
11/28/2016,7.58
11/29/2016,8
12/1/2016,7.5
12/2/2016,7.05
12/5/2016,7.34
